,Track ID,Track Name,Track Added At,Track Popularity,Track Duration,Available Markets,Album,Album Type,Artist,Release Date,Key,Mode,Time Signature,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Speechiness,Valence,Tempo
80,2VgaEScO5uXRCSincakuMR,More Than OK (with Clara Mae),2020-01-29T19:17:02Z,62,156226,40,More Than OK (with Clara Mae),single,|R3HAB|Clara Mae|Frank Walker,2020-01-24,5.0,1.0,4.0,0.0566,0.812,0.594,1.86e-05,0.15,-6.619,0.0776,0.624,105.989,0.0776,0.624,105.989
81,7l97ElWmIdVHWUaOeeU5ZC,that way,2020-01-29T19:17:02Z,62,175026,79,all the things i never said,single,|Tate McRae,2020-01-24,0.0,1.0,4.0,0.728,0.445,0.383,0.0,0.387,-11.015,0.166,0.333,102.059,0.166,0.333,102.059
82,6TYlDTa9AQDvjqwbxlvFyI,Conversations in the Dark,2020-01-29T19:17:02Z,77,237426,79,Conversations in the Dark,single,|John Legend,2020-01-10,8.0,0.0,4.0,0.754,0.372,0.355,0.0,0.167,-8.436,0.03,0.142,126.705,0.03,0.142,126.705
83,5fgHQws1Cj6KDLQmlqM6lF,Problems,2020-01-29T19:17:02Z,72,188504,79,Problems,single,|DeathbyRomy,2019-10-04,0.0,1.0,4.0,0.226,0.761,0.554,0.000232,0.181,-4.583,0.0432,0.381,145.015,0.0432,0.381,145.015
84,6lruHh1jF7ezgbLv72xYmf,FML,2020-01-29T19:17:02Z,84,223000,79,Living Facts,single,|Arizona Zervas,2018-06-03,5.0,1.0,4.0,0.113,0.822,0.575,0.0,0.106,-5.95,0.0934,0.616,100.087,0.0934,0.616,100.087
85,41L3O37CECZt3N7ziG2z7l,Yummy,2020-01-29T19:17:02Z,97,210426,79,Yummy,single,|Justin Bieber,2020-01-03,9.0,0.0,4.0,0.404,0.662,0.519,0.0,0.121,-6.554,0.106,0.495,145.841,0.106,0.495,145.841
86,07KXEDMj78x68D884wgVEm,High Fashion (feat. Mustard),2020-01-29T19:17:02Z,87,220486,78,Please Excuse Me For Being Antisocial,album,|Roddy Ricch|Mustard,2019-12-06,11.0,0.0,4.0,0.269,0.831,0.499,0.0,0.3,-8.442,0.114,0.511,97.956,0.114,0.511,97.956
87,11OwAR3GlBj9E35Cznf7Lj,Vulnerable,2020-01-29T19:17:02Z,80,192172,79,Rare,album,|Selena Gomez,2020-01-10,10.0,1.0,4.0,0.132,0.695,0.573,0.000137,0.156,-8.882,0.167,0.38,100.031,0.167,0.38,100.031
88,7vgv8KZBSo0TPzyIWG9yzV,Salt,2020-01-29T19:17:02Z,81,180283,78,Salt,single,|Ava Max,2019-12-12,6.0,1.0,4.0,0.131,0.693,0.835,0.0,0.073,-3.242,0.0623,0.743,128.052,0.0623,0.743,128.052
89,7GCVboEDzfL3NKp1NrAgHR,Wrong Direction,2020-01-29T19:17:02Z,79,248986,79,Wrong Direction,single,|Hailee Steinfeld,2020-01-01,10.0,1.0,4.0,0.472,0.378,0.388,0.0,0.157,-9.017,0.036,0.188,72.293,0.036,0.188,72.293
90,45StvejYUdIsyUwqdZ7iJM,Y U Gotta B Like That,2020-01-29T19:17:02Z,72,154456,79,Y U Gotta B Like That,single,|Audrey Mika,2019-06-02,9.0,1.0,4.0,0.287,0.732,0.413,0.0,0.0565,-6.353,0.0702,0.761,92.066,0.0702,0.761,92.066
